id,pokedex_version_id,game_name,flavor_text
142,1,Red,A ferocious pre historic Pokemon that goes for theenemy's throat with its serrated saw-like fangs.
142,2,Blue,A ferocious pre historic Pokemon that goes for theenemy's throat with its serrated saw-like fangs.
142,3,Yellow,A savage Pokemon that died out in ancient times. Itwas resurrected using DNA taken from amber.
142,4,Gold,A vicious Pokemon from the distant past it appearsto have flown by spreading its wings and gliding.
142,5,Silver,This vicious POK  e MON is said to have flown in an cient skies while shrieking high- pitched cries.
142,6,Crystal,In prehistoric times this Pokemon flewfreely and fearlessly through the skies.
142,7,Ruby,AERODACTYL is a Pokemon from the age of dinosaurs. It was regenerated from genetic material extracted from amber.It is imagined to have been the king of the skies in ancient times.
142,8,Sapphire,AERODACTYL is a Pokemon from the age of dinosaurs. It was regenerated from genetic material extracted from amber.It is imagined to have been the king of the skies in ancient times.
142,9,Emerald,AERODACTYL is a Pokemon from the age of dinosaurs. It was regenerated from DNA extracted from amber. It is imagined to have been the king of the skies.
142,10,FireRed,It was regenerated from a dinosaur's genetic matter that was found in amber. It flies with high-pitched cries.
142,11,LeafGreen,A ferocious prehistoric Pokemon that goes for the enemy's throat with its serrated sawlike fangs.
142,12,Diamond,A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
142,13,Pearl,A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
142,14,Platinum,A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
142,15,HeartGold,A vicious Pokemon from the distant past it appears to have flown by spreading its wings and gliding.
142,16,SoulSilver,This vicious Pokemon is said to have flown in ancient skies while shrieking high-pitched cries.
142,17,Black,A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
142,18,White,A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
142,21,Black 2,A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
142,22,White 2,A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
142,23,X,It was regenerated from a dinosaur's genetic matter that was found in amber. It flies with high-pitched cries.
142,24,Y,This vicious Pokemon is said to have flown in ancient skies while shrieking high-pitched cries.
142,25,Omega Ruby,Aerodactyl is a Pokemon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
142,26,Alpha Sapphire,Aerodactyl is a Pokemon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
