id,pokedex_version_id,flavor_text
241,4,Its milk is packed with nutrition making it theultimate beverage for the sick or weary.
241,5,If it has just had a baby the milk it produces con tains much more nutrition than usual.
241,6,In order to milk a MILTANK one must have a knack forrhythmically pull ing up and down on its udders.
241,7,MILTANK gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike.People who can't drink milk turn it into yogurt and eat it instead.
241,8,MILTANK gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike.People who can't drink milk turn it into yogurt and eat it instead.
241,9,It gives over five gallons of milk daily. Its sweet milk is enjoyed by children and grown-ups alike. People who can't drink milk turn it into yogurt and eat it instead.
241,10,If it has just had a baby the milk it produces contains much more nutrition than usual.
241,11,Its milk is packed with nutrition making it the ultimate beverage for the sick or weary.
241,12,It is said that kids who drink MILTANK's milk grow up to become hearty healthy adults.
241,13,It is said that kids who drink MILTANK's milk grow up to become hearty healthy adults.
241,14,It is said that kids who drink MILTANK's milk grow up to become hearty healthy adults.
241,15,Its milk is packed with nutrition making it the ultimate beverage for the sick or weary.
241,16,If it is around babies the milk it produces contains much more nutrition than usual.
241,17,It is said that kids who drink Miltank's milk grow up to become hearty healthy adults.
241,18,It is said that kids who drink Miltank's milk grow up to become hearty healthy adults.
241,21,It is said that kids who drink Miltank's milk grow up to become hearty healthy adults.
241,22,It is said that kids who drink Miltank's milk grow up to become hearty healthy adults.
241,23,If it is around babies the milk it produces contains much more nutrition than usual.
241,24,Its milk is packed with nutrition making it the ultimate beverage for the sick or weary.
241,25,Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can't drink milk turn it into yogurt and eat it instead.
241,26,Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can't drink milk turn it into yogurt and eat it instead.
