id,pokedex_version_id,flavor_text
232,4,It has sharp hard tusks and a rugged hide. Its TACKLEis strong enough to knock down a house.
232,5,The longer and bigger its tusks the higher itsrank in its herd. The tusks take long to grow.
232,6,Because this Pokemon's skin is so tough a normalattack won't even leave a scratch on it.
232,7,DONPHAN's favorite attack is curling its body into a ball then charging at its foe while rolling at high speed.Once it starts rolling this Pokemon can't stop very easily.
232,8,If DONPHAN were to tackle with its hard body even a house could be destroyed. Using its massive strength thePokemon helps clear rock and mud slides that block mountain trails.
232,9,A DONPHAN is so strong it can easily haul a dump truck. Its hide has toughened to a rock-hard state. An ordinary sort of attack won't even leave a scratch.
232,10,The longer and bigger its tusks the higher its rank in its herd. The tusks take a long time to grow.
232,11,It has sharp hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house.
232,12,It attacks by curling up then rolling into its foe. It can blow apart a house in one hit.
232,13,It attacks by curling up then rolling into its foe. It can blow apart a house in one hit.
232,14,It attacks by curling up then rolling into its foe. It can blow apart a house in one hit.
232,15,It has sharp hard tusks and a rugged hide. Its tackle is strong enough to knock down a house.
232,16,The longer and bigger its tusks the higher its rank in its herd. The tusks take long to grow.
232,17,It attacks by curling up then rolling into its foe. It can blow apart a house in one hit.
232,18,It attacks by curling up then rolling into its foe. It can blow apart a house in one hit.
232,21,It attacks by curling up then rolling into its foe. It can blow apart a house in one hit.
232,22,It attacks by curling up then rolling into its foe. It can blow apart a house in one hit.
232,23,It has sharp hard tusks and a rugged hide. Its Tackle is strong enough to knock down a house.
232,24,The longer and bigger its tusks the higher its rank in its herd. The tusks take long to grow.
232,25,Donphan's favorite attack is curling its body into a ball then charging at its foe while rolling at high speed. Once it starts rolling this Pokemon can't stop very easily.
232,26,If Donphan were to tackle with its hard body even a house could be destroyed. Using its massive strength the Pokemon helps clear rock and mud slides that block mountain trails.
