id,pokedex_version_id,flavor_text
289,7,SLAKING spends all day lying down and lolling about. It eats grass growing within its reach.If it eats all the grass it can reach this Pokemon reluctantly moves to another spot.
289,8,Wherever SLAKING live rings of over a yard in diameter appear in grassy fields. They are made by the Pokemonas it eats all the grass within reach while lying prone on the ground.
289,9,Hordes of SLAKING gather around trees when fruits come into season. They wait around patiently for ripened fruits to fall out of the trees.
289,10,It is the world's most slothful Pokemon. However it can exert horrifying power by releasing pent-up energy all at once.
289,11,It is the world's most slothful Pokemon. However it can exert horrifying power by releasing pent-up energy all at once.
289,12,The world's laziest Pokemon. When it is lounging it is actually saving energy for striking back.
289,13,The world's laziest Pokemon. When it is lounging it is actually saving energy for striking back.
289,14,The world's laziest Pokemon. When it is lounging it is actually saving energy for striking back.
289,15,The world's laziest Pokemon. It moves to another spot when there's no food left within its reach.
289,16,The world's laziest Pokemon. It moves to another spot when there's no food left within its reach.
289,17,The world's laziest Pokemon. When it is lounging it is actually saving energy for striking back.
289,18,The world's laziest Pokemon. When it is lounging it is actually saving energy for striking back.
289,21,This Pokemon lives lying on its side. It only rolls over and moves when there is no more grass to eat.
289,22,This Pokemon lives lying on its side. It only rolls over and moves when there is no more grass to eat.
289,23,The world's laziest Pokemon. It moves to another spot when there's no food left within its reach.
289,24,It is the world's most slothful Pokemon. However it can exert horrifying power by releasing pent-up energy all at once.
289,25,Slaking spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach this Pokemon reluctantly moves to another spot.
289,26,Wherever Slaking live rings of over a yard in diameter appear in grassy fields. They are made by the Pokemon as it eats all the grass within reach while lying prone on the ground.
