id,pokedex_version_id,flavor_text
229,4,If you are burned by the flames it shoots from itsmouth the pain will never go away.
229,5,Upon hearing its eerie howls other Pokemon get theshivers and head straight back to their nests.
229,6,The pungent- smelling flame that shoots fromits mouth results from toxins burn ing in its body.
229,7,In a HOUNDOOM pack the one with its horns raked sharply towards the back serves a leadership role.These Pokemon choose their leader by fighting amongst themselves.
229,8,In a HOUNDOOM pack the one with its horns raked sharply towards the back serves a leadership role.These Pokemon choose their leader by fighting amongst themselves.
229,9,In a HOUNDOOM pack the one with its horns raked sharply back serves a leadership role. They choose their leader by fighting among themselves.
229,10,Upon hearing its eerie howls other Pokemon get the shivers and head straight back to their nests.
229,11,If you are burned by the flames it shoots from its mouth the pain will never go away.
229,12,Long ago people imagined its eerie howls to be the call of the grim reaper.
229,13,Long ago people imagined its eerie howls to be the call of the grim reaper.
229,14,The flames it breathes when angry contain toxins. If they cause a burn it will hurt forever.
229,15,If you are burned by the flames it shoots from its mouth the pain will never go away.
229,16,Upon hearing its eerie howls other Pokemon get the shivers and head straight back to their nests.
229,17,The flames it breathes when angry contain toxins. If they cause a burn it will hurt forever.
229,18,The flames it breathes when angry contain toxins. If they cause a burn it will hurt forever.
229,21,The flames it breathes when angry contain toxins. If they cause a burn it will hurt forever.
229,22,The flames it breathes when angry contain toxins. If they cause a burn it will hurt forever.
229,23,Long ago people imagined its eerie howls to be the call of the grim reaper.
229,24,The flames it breathes when angry contain toxins. If they cause a burn it will hurt forever.
229,25,In a Houndoom pack the one with its horns raked sharply toward the back serves a leadership role. These Pokemon choose their leader by fighting among themselves.
229,26,In a Houndoom pack the one with its horns raked sharply toward the back serves a leadership role. These Pokemon choose their leader by fighting among themselves.
