id,pokedex_version_id,flavor_text
475,12,A master of courtesy and swordsmanship it fights using extending swords on its elbows.
475,13,A master of courtesy and swordsmanship it fights using extending swords on its elbows.
475,14,When trying to protect someone it extends its elbows as if they were swords and fights savagely.
475,15,Because it can sense what its foe is thinking its attacks burst out first fast and fierce.
475,16,Because it can sense what its foe is thinking its attacks burst out first fast and fierce.
475,17,When trying to protect someone it extends its elbows as if they were swords and fights savagely.
475,18,When trying to protect someone it extends its elbows as if they were swords and fights savagely.
475,21,When trying to protect someone it extends its elbows as if they were swords and fights savagely.
475,22,When trying to protect someone it extends its elbows as if they were swords and fights savagely.
475,23,Because it can sense what its foe is thinking its attacks burst out first fast and fierce.
475,24,A master of courtesy and swordsmanship it fights using extending swords on its elbows.
475,25,Because it can sense what its foe is thinking its attacks burst out first fast and fierce.
475,26,A master of courtesy and swordsmanship it fights using extending swords on its elbows.
