id,pokedex_version_id,flavor_text
62,1,An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers.
62,2,An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers.
62,3,Swims powerfully using all the muscles in itsbody. It can even overtake champion swimmers.
62,4,This strong and skilled swimmer is even capable ofcrossing the Pacific Ocean just by kicking.
62,5,Although an ener getic skilled swimmer that usesall of its mus cles it lives on dry land.
62,6,It can use its well-developed arms and legs torun on the surface of the water for a split second.
62,7,POLIWRATH's highly developed brawny muscles never grow fatigued however much it exercises.It is so tirelessly strong this Pokemon can swim back and forth across the Pacific Ocean without effort.
62,8,POLIWRATH's highly developed brawny muscles never grow fatigued however much it exercises.It is so tirelessly strong this Pokemon can swim back and forth across the Pacific Ocean without effort.
62,9,Its highly developed muscles never grow fatigued however much it exercises. This Pokemon can swim back and forth across the Pacific Ocean without effort.
62,10,An adept swimmer it knows the front crawl butterfly and more. It is faster than the best human swimmers.
62,11,A swimmer adept at both the front crawl and breaststroke. Easily overtakes the best human swimmers.
62,12,With its extremely tough muscles it can keep swimming in the Pacific Ocean without resting.
62,13,With its extremely tough muscles it can keep swimming in the Pacific Ocean without resting.
62,14,With its extremely tough muscles it can keep swimming in the Pacific Ocean without resting.
62,15,This strong and skilled swimmer is even capable of crossing the Pacific Ocean just by kicking.
62,16,Although an energetic skilled swimmer that uses all of its muscles it lives on dry land.
62,17,With its extremely tough muscles it can keep swimming in the Pacific Ocean without resting.
62,18,With its extremely tough muscles it can keep swimming in the Pacific Ocean without resting.
62,21,With its extremely tough muscles it can keep swimming in the Pacific Ocean without resting.
62,22,With its extremely tough muscles it can keep swimming in the Pacific Ocean without resting.
62,23,With its extremely tough muscles it can keep swimming in the Pacific Ocean without resting.
62,24,A swimmer adept at both the front crawl and breaststroke. Easily overtakes the best human swimmers.
62,25,Poliwrath's highly developed brawny muscles never grow fatigued however much it exercises. It is so tirelessly strong this Pokemon can swim back and forth across the ocean without effort.
62,26,Poliwrath's highly developed brawny muscles never grow fatigued however much it exercises. It is so tirelessly strong this Pokemon can swim back and forth across the ocean without effort.
